name,market,neighborhood,cuisine,price,address,zip,url
Arclight Cafe Bar,Los Angeles,,,$$,6360 W Sunset Blvd,90028,https://jsheldon-afk.github.io/cold-call-hub-3/?r=arclight-cafe-bar
Sushi Yuzu,Los Angeles,Toluca Lake,,$$$,10118 Riverside Dr,91602,https://jsheldon-afk.github.io/cold-call-hub-3/?r=sushi-yuzu
Echigo,Los Angeles,,,$$,12217 Santa Monica Blvd,90025,https://jsheldon-afk.github.io/cold-call-hub-3/?r=echigo
Ye Olde King's Head,Los Angeles,Ocean Park,,$$,116 Santa Monica Blvd,90401,https://jsheldon-afk.github.io/cold-call-hub-3/?r=ye-olde-king-s-head
Flavor of India,Los Angeles,West Hollywood,,$$,7950 W Sunset Blvd,90046,https://jsheldon-afk.github.io/cold-call-hub-3/?r=flavor-of-india
O Fine Japanese Cuisine,Los Angeles,East Irvine,,$$,6731 Quail Hill Pkwy,92603,https://jsheldon-afk.github.io/cold-call-hub-3/?r=o-fine-japanese-cuisine
Larchmont Bungalow Cafe,Los Angeles,Echo Park,,$$,2110 W Sunset Blvd,90026,https://jsheldon-afk.github.io/cold-call-hub-3/?r=larchmont-bungalow-cafe
Cruzer Pizza,Los Angeles,Thai Town,,$$,5051 Hollywood Blvd,90027,https://jsheldon-afk.github.io/cold-call-hub-3/?r=cruzer-pizza
Green Papaya,Los Angeles,LA,,$$,2108 Colorado Blvd,90041,https://jsheldon-afk.github.io/cold-call-hub-3/?r=green-papaya
Playa Del Carmen Seafood & Grill,Los Angeles,,,$$,950 E Colorado Blvd,91106,https://jsheldon-afk.github.io/cold-call-hub-3/?r=playa-del-carmen-seafood-and-grill
The Sushi House,Los Angeles,Studio City,,$$,11388 Ventura Blvd,91604,https://jsheldon-afk.github.io/cold-call-hub-3/?r=the-sushi-house
Bombay Palace,Los Angeles,Beverly Hills,,$$,8690 Wilshire Blvd,90211,https://jsheldon-afk.github.io/cold-call-hub-3/?r=bombay-palace
Crepes de Paris,Los Angeles,,,$$,84 S Fair Oaks Ave,91105,https://jsheldon-afk.github.io/cold-call-hub-3/?r=crepes-de-paris
Eden Garden Bar & Grill,Los Angeles,Pasadena,,$$,175 E Holly St,91103,https://jsheldon-afk.github.io/cold-call-hub-3/?r=eden-garden-bar-and-grill
All That Barbecue,Los Angeles,Irvine,,$$,15333 Culver Dr,92604,https://jsheldon-afk.github.io/cold-call-hub-3/?r=all-that-barbecue
Yuk Dae Jang,Los Angeles,,,$$,3851 Alton Pkwy,92606,https://jsheldon-afk.github.io/cold-call-hub-3/?r=yuk-dae-jang
Sidewalk Cafe,Los Angeles,Santa Monica,,$$,1401 Ocean Front Walk,90291,https://jsheldon-afk.github.io/cold-call-hub-3/?r=sidewalk-cafe
C&O Restaurants,Los Angeles,Marina Del Rey,,$$,3016 Washington Blvd,90292,https://jsheldon-afk.github.io/cold-call-hub-3/?r=c-and-o-restaurants
New India's Oven,Los Angeles,Marina Del Rey,,$$,13444 Maxella Ave,90292,https://jsheldon-afk.github.io/cold-call-hub-3/?r=new-india-s-oven
The Belmont,Los Angeles,West Hollywood,,$$,747 N La Cienega Blvd,90069,https://jsheldon-afk.github.io/cold-call-hub-3/?r=the-belmont
Tsujita LA,Los Angeles,Santa Monica,,$$,2057 Sawtelle Blvd,90025,https://jsheldon-afk.github.io/cold-call-hub-3/?r=tsujita-la
Brandoni Pepperoni,Los Angeles,,,$$,7257 Beverly Blvd,90036,https://jsheldon-afk.github.io/cold-call-hub-3/?r=brandoni-pepperoni
Ariyoshi Sushi Cafe Izakaya,Los Angeles,Brookside,,$$,5358 Wilshire Blvd,90036,https://jsheldon-afk.github.io/cold-call-hub-3/?r=ariyoshi-sushi-cafe-izakaya
El 7 Mares Restaurant,Los Angeles,Boyle Heights,,$$,3914 Whittier Blvd,90023,https://jsheldon-afk.github.io/cold-call-hub-3/?r=el-7-mares-restaurant
Lenny's Casita,Los Angeles,,,?,4817 W Pico Blvd,90019,https://jsheldon-afk.github.io/cold-call-hub-3/?r=lenny-s-casita
Bru's Wiffle,Los Angeles,Santa Monica,,$$,2408 Wilshire Blvd,90403,https://jsheldon-afk.github.io/cold-call-hub-3/?r=bru-s-wiffle
The India Cafe,Los Angeles,Huntington Beach,,$$,528 W 19th St,92627,https://jsheldon-afk.github.io/cold-call-hub-3/?r=the-india-cafe
Kappo Sui,Los Angeles,Costa Mesa,,$$,Santa Ana Ave,92627,https://jsheldon-afk.github.io/cold-call-hub-3/?r=kappo-sui
